"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UNC5C",9.00141279481652e-31,0.281146154132788,1,0.982,2.93941134814733e-26,"SPN_patch","UNC5C"
"CHRM31",2.11706109702486e-30,0.674128698374559,0.732,0.781,6.91326301233469e-26,"SPN_patch","CHRM3"
"GRID11",2.34605375042956e-30,0.289349576576726,0.999,0.992,7.66103852202772e-26,"SPN_patch","GRID1"
"PDE9A1",2.66377398680098e-30,0.420995423069139,0.709,0.599,8.6985539538986e-26,"SPN_patch","PDE9A"
"LRCH11",2.72557157793131e-30,0.272703154947957,0.821,0.688,8.9003539877347e-26,"SPN_patch","LRCH1"
"SLC9A1",3.26257779065283e-30,0.26896310726072,0.546,0.383,1.06539477753768e-25,"SPN_patch","SLC9A1"
"SH3RF31",6.37137985910585e-30,0.273107809663605,0.606,0.451,2.08057409299102e-25,"SPN_patch","SH3RF3"
"TTC39C",7.31198958609664e-30,0.280355443189072,0.844,0.735,2.38773019933986e-25,"SPN_patch","TTC39C"
"WSCD2",1.54745846489919e-29,0.281081175934748,0.9,0.806,5.05322561712829e-25,"SPN_patch","WSCD2"
"ZMYND8",1.8237876623801e-29,0.308505716102547,0.992,0.977,5.95557861150222e-25,"SPN_patch","ZMYND8"
"SPRED1",2.4918864891385e-29,0.317982915437332,0.902,0.82,8.13725533028177e-25,"SPN_patch","SPRED1"
"ZFPM21",4.06912986014557e-29,0.353503084741231,0.974,0.928,1.32877435583054e-24,"SPN_patch","ZFPM2"
"PDE10A1",4.24113321841744e-29,0.46900901447183,1,0.992,1.38494205247422e-24,"SPN_patch","PDE10A"
"NDFIP2",4.39576698127677e-29,0.282113403475171,0.899,0.832,1.43543770773593e-24,"SPN_patch","NDFIP2"
"AC008415.11",7.33953169685661e-29,0.33693145320546,0.991,0.934,2.39672407560852e-24,"SPN_patch","AC008415.1"
"AC006148.11",2.16446291075253e-28,0.30572127509521,0.993,0.979,7.06805363506239e-24,"SPN_patch","AC006148.1"
"TET3",2.62357389757599e-28,0.269518887642086,0.681,0.504,8.56728056253439e-24,"SPN_patch","TET3"
"MPPED2",6.61913680422279e-28,0.272528093377379,0.993,0.986,2.16147912341895e-23,"SPN_patch","MPPED2"
"ME3",1.40939400555781e-27,0.317751241546814,0.996,0.99,4.60237612514902e-23,"SPN_patch","ME3"
"CPE",1.41038408391038e-27,0.261989310402774,0.985,0.98,4.60560922600934e-23,"SPN_patch","CPE"
"ACVR2A",1.95960064562022e-27,0.291578743993458,0.788,0.648,6.39907590827283e-23,"SPN_patch","ACVR2A"
"PCDH10",3.86608827621639e-27,0.349245259695209,0.926,0.896,1.26247112659846e-22,"SPN_patch","PCDH10"
"FLRT21",1.28407758238353e-26,0.321417791728132,0.987,0.969,4.19315534527341e-22,"SPN_patch","FLRT2"
"MSI21",1.38177562922327e-26,0.281821025791263,0.934,0.937,4.51218831722858e-22,"SPN_patch","MSI2"
"GLCE",1.52052347292928e-26,0.257165948890957,0.935,0.877,4.96526940085055e-22,"SPN_patch","GLCE"
"DGKI1",1.58123783250696e-26,0.257978579002279,1,1,5.16353214205147e-22,"SPN_patch","DGKI"
"MAN1A11",2.17565416986392e-26,0.260046932402993,0.997,0.948,7.10459869169063e-22,"SPN_patch","MAN1A1"
"SCG21",2.26957680564267e-26,0.275928850212198,0.717,0.549,7.41130305882615e-22,"SPN_patch","SCG2"
"OTUD3",4.67047457418806e-26,0.27271762978458,0.776,0.654,1.52514347220111e-21,"SPN_patch","OTUD3"
"PDXK",6.05523861811753e-26,0.259241796971174,0.926,0.871,1.97733817074628e-21,"SPN_patch","PDXK"
"TMEM641",3.29499703802783e-25,0.291350063620278,0.788,0.65,1.07598128276799e-20,"SPN_patch","TMEM64"
"LIN28B",4.31011960583687e-25,0.296626982271959,0.616,0.478,1.40746955728603e-20,"SPN_patch","LIN28B"
"BCL11A",6.29546394810585e-25,0.327307913119042,0.895,0.854,2.05578375225397e-20,"SPN_patch","BCL11A"
"AL596087.2",6.42746595148591e-25,0.297874070661991,0.861,0.769,2.09888900645772e-20,"SPN_patch","AL596087.2"
"IQSEC1",1.12821340961024e-24,0.263823076541954,0.978,0.967,3.68418088908225e-20,"SPN_patch","IQSEC1"
"RARB1",1.64779524813336e-24,0.309353385637114,0.997,0.967,5.3808753827795e-20,"SPN_patch","RARB"
"VAV3",2.36389109335191e-24,0.351995853706424,0.888,0.816,7.71928636534065e-20,"SPN_patch","VAV3"
"KCNN2",2.43249778922274e-24,0.261971506649837,0.666,0.512,7.94332153070687e-20,"SPN_patch","KCNN2"
"RUNX1T1",4.98518327045358e-24,0.277638814075415,0.987,0.972,1.62791159696662e-19,"SPN_patch","RUNX1T1"
"TESC",7.03097102937301e-24,0.313152351411685,0.873,0.826,2.29596358964176e-19,"SPN_patch","TESC"
"ELL2",1.19479107170723e-23,0.497524065143505,0.71,0.66,3.90159024465997e-19,"SPN_patch","ELL2"
"UPP2",2.29870097476042e-23,0.291127209322478,0.915,0.829,7.50640803308014e-19,"SPN_patch","UPP2"
"SYNDIG1",4.60499516668479e-23,0.333906708663703,0.725,0.701,1.50376117168092e-18,"SPN_patch","SYNDIG1"
"AC092422.11",9.39137679400606e-23,0.349143167578314,0.941,0.954,3.06675409208268e-18,"SPN_patch","AC092422.1"
"LMCD1-AS11",1.10504610773051e-22,0.263279707283121,0.372,0.233,3.60852806479397e-18,"SPN_patch","LMCD1-AS1"
"PDE2A",1.25620427497028e-22,0.284261605978884,0.887,0.85,4.10213505991546e-18,"SPN_patch","PDE2A"
"PTN",1.48884706330501e-22,0.394344544833867,0.527,0.4,4.86183008522249e-18,"SPN_patch","PTN"
"AC013652.1",4.33811147436131e-22,0.293527313092863,0.871,0.808,1.41661030195269e-17,"SPN_patch","AC013652.1"
"FER1",7.29114418128366e-22,0.255009425481289,0.997,0.991,2.38092313239818e-17,"SPN_patch","FER"
"ENOX2",2.22789499035705e-21,0.283731725649872,0.743,0.618,7.27519109101096e-17,"SPN_patch","ENOX2"
"MALRD1",3.19669886408641e-21,0.269343103029043,0.268,0.148,1.04388201406742e-16,"SPN_patch","MALRD1"
"SCD5",4.15411859594289e-21,0.252886966797299,0.906,0.882,1.35652742750515e-16,"SPN_patch","SCD5"
"HS6ST2",1.78474501683923e-20,0.276053699844149,0.888,0.822,5.82808485248849e-16,"SPN_patch","HS6ST2"
"LINC00534",5.93211165121927e-20,0.419033009420594,0.376,0.241,1.93713105970565e-15,"SPN_patch","LINC00534"
"AC109466.11",8.26519506410317e-20,0.278124160928011,0.996,0.952,2.69899944818289e-15,"SPN_patch","AC109466.1"
"CEP1121",2.79505952404612e-19,0.264386870524339,0.815,0.704,9.1272668757726e-15,"SPN_patch","CEP112"
"AL117190.2",1.07941618217648e-18,0.266766183416213,0.984,0.975,3.52483354289729e-14,"SPN_patch","AL117190.2"
"XACT",1.25618480237334e-18,0.321428733850566,0.22,0.118,4.10207147215014e-14,"SPN_patch","XACT"
"DGKB",4.4916442890885e-18,0.268599521375574,1,0.997,1.46674644260185e-13,"SPN_patch","DGKB"
"TBL1X1",5.90370946966993e-17,0.3193205693582,0.796,0.743,1.92785632732072e-12,"SPN_patch","TBL1X"
"AC120193.1",2.37481175888175e-16,0.35093739721501,0.818,0.747,7.75494779862834e-12,"SPN_patch","AC120193.1"
"LINC014141",3.87050326649233e-14,0.253576809518356,0.648,0.526,1.26391284167307e-09,"SPN_patch","LINC01414"
"TTTY141",5.63075142685759e-13,0.287695644070041,0.713,0.634,1.83872187844035e-08,"SPN_patch","TTTY14"
